mechanism,het,info,concentration,n,outcome_from,rho,platform,coef_spread,miss,n_pat,cov30,eff_pat,prev,mean_impute,mean_indicator,tuned_impute,tuned_indicator,safe_adaptive,safe_oracle,delta_vs_tuned_ind,p_vs_tuned_ind,wins,n_folds,kappa_median
MNAR,0.5,0.0,0.5,1000,pattern,,Linux-x86_64,0.46996753752164194,0.1178125,57,0.702,14.345958887345661,0.09,0.5363383777286276,0.5117292707140911,0.5349408719413417,0.5123339460372152,0.5092996743058655,0.5377594246309484,-0.003034271731349658,0.7676577617530682,11,25,300.0
MNAR,0.5,0.0,0.5,4000,pattern,,Linux-x86_64,0.492129766401768,0.11584375,60,0.8565,13.95740703241044,0.10175,0.6099599851347294,0.6460680003205915,0.6094479918969983,0.6455549073240037,0.6515596730236457,0.6617158956892975,0.00600476569964199,0.06329083223334525,16,25,1000.0
MNAR,0.5,0.0,0.1,1000,pattern,,Linux-x86_64,0.4960742955857829,0.1161875,197,0.0,150.21272667168074,0.096,0.5329278293100511,0.5226768611296456,0.5347704625581698,0.5247192260053659,0.5293868773556758,0.5670604942308246,0.0046676513503097605,0.8582823598181881,12,25,100.0
MNAR,0.5,0.0,0.1,4000,pattern,,Linux-x86_64,0.49173008716257366,0.11921875,215,0.3665,161.16511830275894,0.10025,0.5472887453045352,0.5592081333717032,0.5471587336209873,0.5588474232063084,0.5817002139367173,0.5855680836974244,0.022852790730408867,4.172325134277344e-07,24,25,300.0
MNAR,0.5,1.5,0.9,1000,pattern,,Linux-x86_64,0.4529503937744953,0.1224375,12,0.943,2.973572115717008,0.097,0.7267934138403385,0.7380145922097091,0.7254496150579051,0.7380776398502309,0.7380796126631725,0.7509438944120234,1.9728129414930962e-06,0.44957974035141124,7,25,1000000000.0
MNAR,0.5,1.5,0.9,4000,pattern,,Linux-x86_64,0.5007659873459318,0.15184375,12,0.982,2.867321830264796,0.09725,0.54089078640329,0.6077371110337088,0.539441967847323,0.6056022455345861,0.6706326608209872,0.6807117004799562,0.06503041528640102,5.960464477539062e-07,23,25,100.0
MNAR,0.5,1.5,0.5,1000,pattern,,Linux-x86_64,0.46996753752164194,0.1178125,57,0.702,14.345958887345661,0.1,0.557462840537044,0.6360005553481313,0.5570849104928254,0.6360640471400378,0.6219218551215681,0.6508955780102434,-0.01414219201846973,0.03560071215888041,5,25,1000.0
MNAR,0.5,1.5,0.5,4000,pattern,,Linux-x86_64,0.492129766401768,0.11584375,60,0.8565,13.95740703241044,0.104,0.58424951031975,0.6393502253687048,0.5851411107472722,0.6388557295900575,0.6376675382818248,0.6510093428166759,-0.001188191308232649,0.7533040472859123,11,25,1000.0
MNAR,0.5,1.5,0.1,1000,pattern,,Linux-x86_64,0.4960742955857829,0.1161875,197,0.0,150.21272667168074,0.09,0.35697254817823976,0.3654590065068787,0.3582940947882205,0.3628254475834411,0.3588149552242064,0.3780528422765348,-0.004010492359234711,0.28682732924443755,8,25,1000.0
MNAR,0.5,1.5,0.1,4000,pattern,,Linux-x86_64,0.49173008716257366,0.11921875,215,0.3665,161.16511830275894,0.1015,0.5160146299710322,0.5353191211557449,0.5158162525789396,0.5348114593623855,0.5577462240293408,0.5650190070776692,0.022934764666955272,0.00016230344772338867,20,25,100.0
