cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,70,69,69,0.2630613623071848
lung,baseline,40000,70,69,69,0.22001102010804383
lung,baseline,40000,70,69,69,0.23755039895957733
lung,baseline,40000,70,66,66,0.05849364225069276
lung,baseline,40000,70,65,65,0.12528953537247278
lung,baseline,40000,70,57,57,0.23066664099537174
lung,baseline,40000,70,37,37,0.19184512235327897
lung,baseline,40000,70,66,66,0.2285359209177645
lung,baseline,40000,70,62,62,0.2525406214892346
lung,baseline,40000,70,34,34,0.14213910192646337
lung,baseline,40000,70,65,65,0.041420800688794245
lung,baseline,40000,70,52,52,0.03479920641702193
lung,baseline,40000,70,47,47,0.10772676294173149
lung,baseline,40000,70,44,44,0.027904447129534767
lung,baseline,40000,70,40,40,0.035989794706531394
lung,baseline,40000,70,37,37,0.039115169267131385
lung,baseline,40000,70,34,34,0.04695762820890811
lung,baseline,40000,70,67,67,0.015955069021560978
lung,baseline,40000,70,64,64,0.04031683601091031
lung,baseline,40000,70,47,47,0.03133239846045014
lung,baseline,40000,70,69,69,0.22487406102247814
lung,baseline,40000,70,65,65,0.1521691120931344
lung,baseline,40000,70,64,64,0.22295090208061363
lung,baseline,40000,70,62,62,0.21541933149049652
lung,baseline,40000,70,64,64,0.21762874291048806
lung,baseline,40000,70,63,63,0.16689870870903542
lung,baseline,40000,70,44,44,0.17231585587524567
lung,baseline,40000,70,37,37,0.17534733293100518
lung,baseline,40000,70,28,28,0.25773414256478205
lung,baseline,40000,70,37,37,0.04329254859094144
lung,baseline,40000,70,35,35,0.045346107252542
lung,baseline,40000,70,34,34,0.051334323527330576
lung,baseline,40000,70,34,34,0.04952957961732258
lung,baseline,40000,70,33,33,0.04735165666541519
lung,baseline,40000,70,34,34,0.049412795027910385
lung,baseline,40000,70,67,67,0.019800744575846754
lung,baseline,40000,70,64,64,0.08434537023392041
lung,baseline,40000,70,69,69,0.009646669899950803
lung,baseline,40000,70,65,65,0.0869182397870431
lung,baseline,40000,70,65,65,0.05219426446656922
lung,baseline,40000,70,52,52,0.041867809358141495
lung,baseline,40000,70,35,35,0.04080893373819027
lung,baseline,40000,70,34,34,0.045209971608628996
lung,baseline,40000,71,70,70,0.14719127704342283
lung,baseline,40000,71,61,61,0.08023602015238072
lung,baseline,40000,71,51,51,0.0531517570763007
lung,baseline,40000,71,34,34,0.22470016557960673
lung,baseline,40000,71,68,68,0.12803066146974282
lung,baseline,40000,71,65,65,0.15097404445127222
lung,baseline,40000,71,14,14,0.21477051318746662
lung,baseline,40000,71,47,47,0.02978920587117428
lung,baseline,40000,71,65,65,0.10711097640752722
lung,baseline,40000,71,28,28,0.17087905719173274
lung,baseline,40000,71,70,70,0.19228599879281216
lung,baseline,40000,71,68,68,0.25300064676549694
lung,baseline,40000,71,64,64,0.34673556786340776
lung,baseline,40000,71,35,35,0.04587642045327127
lung,baseline,40000,71,34,34,0.051021407826852626
lung,baseline,40000,71,37,37,0.03277371664699314
lung,baseline,40000,71,32,32,0.040461555532868745
lung,baseline,40000,71,70,70,0.00688912613343995
