cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,68,65,65,0.008667484578608256
lung,baseline,40000,68,65,65,0.004173318402920468
lung,baseline,40000,68,65,65,0.011101449320033487
lung,baseline,40000,68,37,37,0.17885865155270747
lung,baseline,40000,68,35,35,0.20453890283669474
lung,baseline,40000,68,28,28,0.19335118825116532
lung,baseline,40000,69,37,37,0.26276242495991675
lung,baseline,40000,69,35,35,0.24234726626961048
lung,baseline,40000,69,68,68,0.0812455513046815
lung,baseline,40000,69,68,68,0.18822644166164448
lung,baseline,40000,69,64,64,0.23717952006982967
lung,baseline,40000,69,63,63,0.25041129184065847
lung,baseline,40000,69,68,68,0.14493681485385926
lung,baseline,40000,69,61,61,0.1443593313577406
lung,baseline,40000,69,68,68,0.09630370690404255
lung,baseline,40000,69,68,68,0.24208133711849117
lung,baseline,40000,69,63,63,0.2054490822194152
lung,baseline,40000,69,62,62,0.06141541434245846
lung,baseline,40000,69,68,68,0.12167329410829343
lung,baseline,40000,69,66,66,0.027028328801359282
lung,baseline,40000,69,68,68,0.23765545946815023
lung,baseline,40000,69,68,68,0.2847730589501254
lung,baseline,40000,69,47,47,0.14139084588646095
lung,baseline,40000,69,46,46,0.1465937037544985
lung,baseline,40000,69,27,27,0.17386170682399502
lung,baseline,40000,69,53,53,0.021145485626931883
lung,baseline,40000,69,14,14,0.261476256744995
lung,baseline,40000,69,68,68,0.007127211221560126
lung,baseline,40000,69,68,68,0.013411557709783943
lung,baseline,40000,69,68,68,0.10619323794927496
lung,baseline,40000,69,66,66,0.019323107767790008
lung,baseline,40000,69,14,14,0.2096545680919683
lung,baseline,40000,69,68,68,0.08702141488538247
lung,baseline,40000,69,67,67,0.13731364739530558
lung,baseline,40000,69,65,65,0.04901859173957933
lung,baseline,40000,69,64,64,0.15659948541075489
lung,baseline,40000,69,63,63,0.15936635064935836
lung,baseline,40000,69,61,61,0.10904935130905145
lung,baseline,40000,69,68,68,0.18637207783667623
lung,baseline,40000,69,66,66,0.094890671546373
lung,baseline,40000,69,68,68,0.2439821945141239
lung,baseline,40000,69,68,68,0.21927715873832795
lung,baseline,40000,69,63,63,0.18788504189803515
lung,baseline,40000,69,68,68,0.010330411869962254
lung,baseline,40000,69,66,66,0.02891683892568414
lung,baseline,40000,69,66,66,0.017251610905825998
lung,baseline,40000,69,14,14,0.23559509455267255
lung,baseline,40000,69,46,46,0.19933648139481983
lung,baseline,40000,69,64,64,0.13785548391600555
lung,baseline,40000,69,63,63,0.04534167793776305
lung,baseline,40000,70,14,14,0.26740091807713623
lung,baseline,40000,70,47,47,0.1430379418344128
lung,baseline,40000,70,46,46,0.1467180422045802
lung,baseline,40000,70,28,28,0.17154602313481218
lung,baseline,40000,70,69,69,0.0828915946245841
lung,baseline,40000,70,67,67,0.01948729617126093
lung,baseline,40000,70,33,33,0.05244401312371894
lung,baseline,40000,70,69,69,0.2630613623072394
lung,baseline,40000,70,69,69,0.22001102016406454
lung,baseline,40000,70,69,69,0.23755039895956606
lung,baseline,40000,70,66,66,0.05849363488566973
lung,baseline,40000,70,65,65,0.12528951479473766
lung,baseline,40000,70,57,57,0.2306666409352174
lung,baseline,40000,70,37,37,0.19184512236460446
lung,baseline,40000,70,66,66,0.22853599331277152
lung,baseline,40000,70,62,62,0.2525406214925376
lung,baseline,40000,70,34,34,0.1421391011635503
lung,baseline,40000,70,65,65,0.04142080068880779
lung,baseline,40000,70,52,52,0.034799206417022194
lung,baseline,40000,70,47,47,0.10772676294180121
lung,baseline,40000,70,44,44,0.027904447129534625
lung,baseline,40000,70,40,40,0.035989794706575554
lung,baseline,40000,70,37,37,0.039115169282914024
lung,baseline,40000,70,34,34,0.04695762823955202
lung,baseline,40000,70,67,67,0.015955069252555767
lung,baseline,40000,70,64,64,0.04031686743513742
lung,baseline,40000,70,47,47,0.03133239850967429
lung,baseline,40000,70,69,69,0.22487406094900977
lung,baseline,40000,70,65,65,0.15216911127031482
lung,baseline,40000,70,64,64,0.2229508127646576
lung,baseline,40000,70,62,62,0.21541922034129338
lung,baseline,40000,70,64,64,0.2176287428503587
lung,baseline,40000,70,63,63,0.1668987086042509
lung,baseline,40000,70,44,44,0.1723158558757995
lung,baseline,40000,70,37,37,0.17534733293151888
lung,baseline,40000,70,28,28,0.25773414256431465
lung,baseline,40000,70,37,37,0.04329254859062574
lung,baseline,40000,70,35,35,0.045346107253319015
lung,baseline,40000,70,34,34,0.05133432352843637
lung,baseline,40000,70,34,34,0.04952958022734437
lung,baseline,40000,70,33,33,0.04735165735179088
lung,baseline,40000,70,34,34,0.049412795039915254
lung,baseline,40000,70,67,67,0.019800744579801893
lung,baseline,40000,70,64,64,0.08434537023189191
lung,baseline,40000,70,69,69,0.009646669899967751
lung,baseline,40000,70,65,65,0.08691823978704558
lung,baseline,40000,70,65,65,0.05219426446658015
lung,baseline,40000,70,52,52,0.041867809358141814
lung,baseline,40000,70,35,35,0.040808933738254324
lung,baseline,40000,70,34,34,0.045209971608733836
lung,baseline,40000,71,70,70,0.14719127685761377
lung,baseline,40000,71,61,61,0.08023601623773739
lung,baseline,40000,71,51,51,0.053151757166163216
lung,baseline,40000,71,34,34,0.22470016557271572
lung,baseline,40000,71,68,68,0.12803066147520345
lung,baseline,40000,71,65,65,0.15097404445588178
lung,baseline,40000,71,14,14,0.21477051318748877
lung,baseline,40000,71,47,47,0.029789205871350165
lung,baseline,40000,71,65,65,0.10711097637331665
lung,baseline,40000,71,28,28,0.17087905717239343
lung,baseline,40000,71,70,70,0.19222360126790503
lung,baseline,40000,71,68,68,0.2529992246891868
lung,baseline,40000,71,64,64,0.34673555906908426
lung,baseline,40000,71,35,35,0.045876420453395954
lung,baseline,40000,71,34,34,0.05102140782677184
lung,baseline,40000,71,37,37,0.03277371664703541
lung,baseline,40000,71,32,32,0.040461555532809834
lung,baseline,40000,71,70,70,0.006888582650414337
lung,baseline,40000,71,68,68,0.12581649195792724
lung,baseline,40000,71,67,67,0.059671483328315886
lung,baseline,40000,71,65,65,0.1164232789571812
lung,baseline,40000,71,63,63,0.027397992910446013
lung,baseline,40000,71,57,57,0.32226130829622296
lung,baseline,40000,71,37,37,0.31248703473301254
lung,baseline,40000,71,28,28,0.3825569893123418
lung,baseline,40000,71,14,14,0.20923284347812693
lung,baseline,40000,71,68,68,0.04329211250979269
lung,baseline,40000,71,52,52,0.03442311637302738
lung,baseline,40000,71,44,44,0.03004896102785047
lung,baseline,40000,71,40,40,0.037990080138418474
lung,baseline,40000,71,35,35,0.13326234233957068
lung,baseline,40000,71,70,70,0.1323715417233093
lung,baseline,40000,71,61,61,0.2296289974267488
lung,baseline,40000,71,64,64,0.025593762268175023
lung,baseline,40000,71,37,37,0.14475127704730364
lung,baseline,40000,71,35,35,0.16651739014719538
lung,baseline,40000,71,37,37,0.04027055372519916
lung,baseline,40000,71,64,64,0.17143679254801622
lung,baseline,40000,71,28,28,0.2047567276660669
lung,baseline,40000,71,14,14,0.21299436613972064
lung,baseline,40000,71,70,70,0.17833564178233885
lung,baseline,40000,71,70,70,0.005781993179761328
lung,baseline,40000,71,67,67,0.021083545814843663
lung,baseline,40000,71,70,70,0.012363165022764975
lung,baseline,40000,71,47,47,0.03466116207792895
lung,baseline,40000,71,68,68,0.29444434891593546
lung,baseline,40000,71,37,37,0.16592517953943853
lung,baseline,40000,71,28,28,0.39770237132436065
lung,baseline,40000,71,37,37,0.04528445490247158
lung,baseline,40000,71,70,70,0.019830451919075127
lung,baseline,40000,71,70,70,0.006118013967729853
lung,baseline,40000,71,68,68,0.04633771957031426
lung,baseline,40000,71,66,66,0.08731766775824942
lung,baseline,40000,71,65,65,0.03898113237429454
lung,baseline,40000,71,68,68,0.20472959089785325
lung,baseline,40000,71,66,66,0.19615212178834662
lung,baseline,40000,71,65,65,0.1988925304329944
lung,baseline,40000,71,65,65,0.19000880301622292
lung,baseline,40000,71,68,68,0.006645511270389231
lung,baseline,40000,71,67,67,0.07073802236582247
lung,baseline,40000,71,65,65,0.01088408531520276
lung,baseline,40000,71,37,37,0.1555410908065522
lung,baseline,40000,71,35,35,0.17160594917161567
lung,baseline,40000,72,68,68,0.14261635528562053
lung,baseline,40000,72,67,67,0.11238408715393731
lung,baseline,40000,72,71,71,0.00969208425342356
lung,baseline,40000,72,71,71,0.03167090772102987
lung,baseline,40000,72,66,66,0.01446665331633842
lung,baseline,40000,72,65,65,0.03628177461662296
lung,baseline,40000,72,69,69,0.007971015176284192
lung,baseline,40000,72,68,68,0.07986340956662129
lung,baseline,40000,72,66,66,0.10658647352681867
lung,baseline,40000,72,55,55,0.07700547231746331
lung,baseline,40000,72,28,28,0.16233342594684338
lung,baseline,40000,72,37,37,0.1815951510789314
lung,baseline,40000,72,71,71,0.018541580012062575
lung,baseline,40000,72,68,68,0.01097542875865202
lung,baseline,40000,72,68,68,0.0728973542603571
lung,baseline,40000,72,14,14,0.19545458109650274
lung,baseline,40000,72,71,71,0.060309268065054794
lung,baseline,40000,72,69,69,0.11020959510331474
