idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
R1,colorectal,idea_R1_mean_impute,1,3,0,0.14452358728367531,0.7499666323050402,8000,
R1,colorectal,idea_R1_ours_asis,1,3,0,0.129616294863702,0.749337007228112,8000,
R1,colorectal,idea_R1_rooted_kinf,1,3,0,0.14452358728367531,0.7499666323050402,8000,
R1,colorectal,idea_R1_rooted_cv,1,3,0,0.14452358728367531,0.7499666323050402,8000,inf
R1,colorectal,idea_R1_mean_impute,1,3,1,0.1486818900768408,0.7709393949351693,8000,
R1,colorectal,idea_R1_ours_asis,1,3,1,0.1581820405866053,0.7695572218442579,8000,
R1,colorectal,idea_R1_rooted_kinf,1,3,1,0.1486818900768408,0.7709393949351693,8000,
R1,colorectal,idea_R1_rooted_cv,1,3,1,0.1489328084044559,0.771120331007534,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,1,3,2,0.14002179267001988,0.770719236537724,8000,
R1,colorectal,idea_R1_ours_asis,1,3,2,0.1367878957386499,0.7679861716706117,8000,
R1,colorectal,idea_R1_rooted_kinf,1,3,2,0.14002179267001988,0.770719236537724,8000,
R1,colorectal,idea_R1_rooted_cv,1,3,2,0.14002179267001988,0.770719236537724,8000,inf
R1,colorectal,idea_R1_mean_impute,1,3,3,0.14618232157554825,0.776696830016875,8000,
R1,colorectal,idea_R1_ours_asis,1,3,3,0.14417880936656152,0.7704852454136121,8000,
R1,colorectal,idea_R1_rooted_kinf,1,3,3,0.14618232157554825,0.776696830016875,8000,
R1,colorectal,idea_R1_rooted_cv,1,3,3,0.14618232157554825,0.776696830016875,8000,inf
R1,colorectal,idea_R1_mean_impute,1,3,4,0.12904066677863904,0.7668024637627229,8000,
R1,colorectal,idea_R1_ours_asis,1,3,4,0.11564771386063223,0.7546725418595357,8000,
R1,colorectal,idea_R1_rooted_kinf,1,3,4,0.12904066677863904,0.7668024637627229,8000,
R1,colorectal,idea_R1_rooted_cv,1,3,4,0.12904066677863904,0.7668024637627229,8000,inf
R1,colorectal,idea_R1_mean_impute,1,4,0,0.1459919409945884,0.7773328075639392,8000,
R1,colorectal,idea_R1_ours_asis,1,4,0,0.13328611220476833,0.7652230726758538,8000,
R1,colorectal,idea_R1_rooted_kinf,1,4,0,0.1459919409945884,0.7773328075639392,8000,
R1,colorectal,idea_R1_rooted_cv,1,4,0,0.1459919409945884,0.7773328075639392,8000,inf
R1,colorectal,idea_R1_mean_impute,1,4,1,0.1267177194994405,0.7494177387940326,8000,
R1,colorectal,idea_R1_ours_asis,1,4,1,0.11429003671487478,0.7342316849894868,8000,
R1,colorectal,idea_R1_rooted_kinf,1,4,1,0.1267177194994405,0.7494177387940326,8000,
R1,colorectal,idea_R1_rooted_cv,1,4,1,0.1267177194994405,0.7494177387940326,8000,inf
R1,colorectal,idea_R1_mean_impute,1,4,2,0.16253648893577496,0.7880821060091023,8000,
R1,colorectal,idea_R1_ours_asis,1,4,2,0.1457311339816487,0.7771098031157829,8000,
R1,colorectal,idea_R1_rooted_kinf,1,4,2,0.16253648893577496,0.7880821060091023,8000,
R1,colorectal,idea_R1_rooted_cv,1,4,2,0.16223168254672804,0.7880436805003891,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,1,4,3,0.1438613240169524,0.7606948302725056,8000,
R1,colorectal,idea_R1_ours_asis,1,4,3,0.13995307422908115,0.7594773483648529,8000,
R1,colorectal,idea_R1_rooted_kinf,1,4,3,0.1438613240169524,0.7606948302725056,8000,
R1,colorectal,idea_R1_rooted_cv,1,4,3,0.1438613240169524,0.7606948302725056,8000,inf
R1,colorectal,idea_R1_mean_impute,1,4,4,0.1445388316861473,0.765003745475902,8000,
R1,colorectal,idea_R1_ours_asis,1,4,4,0.13345464676843435,0.7472762381507865,8000,
R1,colorectal,idea_R1_rooted_kinf,1,4,4,0.1445388316861473,0.765003745475902,8000,
R1,colorectal,idea_R1_rooted_cv,1,4,4,0.14420456361713735,0.7647477102441598,8000,1000000.0
