cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,baseline,40000,67,38,38,0.1790756357970439
prostate,baseline,40000,67,32,32,0.17607367447472144
prostate,baseline,40000,67,20,20,0.06210939654781802
prostate,baseline,40000,67,66,66,0.17014487246891657
prostate,baseline,40000,67,49,49,0.2214553150580872
prostate,baseline,40000,67,62,62,0.017339552302132664
prostate,baseline,40000,67,53,53,0.015255446573788342
prostate,baseline,40000,67,33,33,0.02648864599825818
prostate,baseline,40000,67,53,53,0.012161421584865457
prostate,baseline,40000,67,33,33,0.02827417506506752
prostate,baseline,40000,67,64,64,0.06945574035405389
prostate,baseline,40000,67,37,37,0.02855886514552658
prostate,baseline,40000,67,66,66,0.19221227136382074
prostate,baseline,40000,67,66,66,0.10529309285866728
prostate,baseline,40000,67,65,65,0.08797953768535731
prostate,baseline,40000,67,50,50,0.0990978493360395
prostate,baseline,40000,67,66,66,0.11851017806210143
prostate,baseline,40000,67,65,65,0.07131476333477711
prostate,baseline,40000,67,64,64,0.05546968238350948
prostate,baseline,40000,67,63,63,0.06060116442061402
prostate,baseline,40000,67,62,62,0.08493245740604471
prostate,baseline,40000,67,57,57,0.05165911014420807
prostate,baseline,40000,67,57,57,0.0664508097703345
prostate,baseline,40000,67,20,20,0.12405421660168343
prostate,baseline,40000,67,34,34,0.0705993544228596
prostate,baseline,40000,67,33,33,0.07503897150889606
prostate,baseline,40000,67,32,32,0.1454992232237078
prostate,baseline,40000,67,34,34,0.08847492955384824
prostate,baseline,40000,67,33,33,0.08979076851146768
prostate,baseline,40000,67,56,56,0.01416992101680764
prostate,baseline,40000,67,32,32,0.02676790402845755
prostate,baseline,40000,67,20,20,0.062304925636069416
prostate,baseline,40000,67,66,66,0.21710676785070213
prostate,baseline,40000,67,66,66,0.0908286431640344
prostate,baseline,40000,67,66,66,0.14105743956053865
prostate,baseline,40000,67,62,62,0.0896252860420638
prostate,baseline,40000,67,55,55,0.06353555642930078
prostate,baseline,40000,67,66,66,0.14117648233912541
prostate,baseline,40000,67,46,46,0.04662013717552272
prostate,baseline,40000,67,64,64,0.005758735986092405
prostate,baseline,40000,67,63,63,0.06284290036738614
prostate,baseline,40000,67,66,66,0.03895702376031584
prostate,baseline,40000,67,64,64,0.038922225172080466
prostate,baseline,40000,67,63,63,0.009587237094963728
prostate,baseline,40000,67,34,34,0.024455029778977944
prostate,baseline,40000,67,20,20,0.1874683822104221
prostate,baseline,40000,67,66,66,0.04505728883943016
prostate,baseline,40000,67,34,34,0.023573159642879853
prostate,baseline,40000,67,65,65,0.1995511693108807
prostate,baseline,40000,67,65,65,0.13262935013859914
prostate,baseline,40000,67,65,65,0.23414798651412158
prostate,baseline,40000,67,61,61,0.19311476846318926
prostate,baseline,40000,67,63,63,0.07058600239083383
prostate,baseline,40000,67,37,37,0.029786065117769694
prostate,baseline,40000,67,34,34,0.11630053736142107
prostate,baseline,40000,67,51,51,0.014582082379544814
prostate,baseline,40000,67,26,26,0.2610583891075985
prostate,baseline,40000,67,66,66,0.19671264482099315
prostate,baseline,40000,67,66,66,0.10240899748786128
prostate,baseline,40000,67,63,63,0.06782966236174924
prostate,baseline,40000,67,49,49,0.051927884802844125
prostate,baseline,40000,67,65,65,0.17663005442470772
prostate,baseline,40000,67,65,65,0.14815843655293695
prostate,baseline,40000,67,63,63,0.1931809228935613
prostate,baseline,40000,67,49,49,0.18522860996101756
prostate,baseline,40000,67,46,46,0.14777932259167814
prostate,baseline,40000,67,34,34,0.024015890453524546
prostate,baseline,40000,67,33,33,0.028877021948825864
prostate,baseline,40000,67,63,63,0.06881886976391893
prostate,baseline,40000,67,37,37,0.023027653821671316
prostate,baseline,40000,67,66,66,0.01670833305046067
prostate,baseline,40000,67,66,66,0.006218862046501467
prostate,baseline,40000,67,65,65,0.0033575419210592787
prostate,baseline,40000,67,64,64,0.0037891849652027087
prostate,baseline,40000,67,64,64,0.006942044143221437
prostate,baseline,40000,67,64,64,0.01301373105542452
prostate,baseline,40000,67,54,54,0.023473953313155604
prostate,baseline,40000,68,67,67,0.3142644086423654
prostate,baseline,40000,68,67,67,0.10157687546939953
prostate,baseline,40000,68,67,67,0.17825968292504601
prostate,baseline,40000,68,67,67,0.054252927495186766
prostate,baseline,40000,68,63,63,0.12602176770560927
prostate,baseline,40000,68,62,62,0.023848445448926104
prostate,baseline,40000,68,65,65,0.04367012258408529
prostate,baseline,40000,68,40,40,0.14480005214351993
prostate,baseline,40000,68,38,38,0.13857052317566754
prostate,baseline,40000,68,34,34,0.11514968497703815
prostate,baseline,40000,68,20,20,0.13632138725085044
prostate,baseline,40000,68,67,67,0.019031780928600556
prostate,baseline,40000,68,55,55,0.09224617162518933
prostate,baseline,40000,68,53,53,0.09467986332352583
prostate,baseline,40000,68,52,52,0.014837262588061204
prostate,baseline,40000,68,67,67,0.155539052058663
prostate,baseline,40000,68,67,67,0.08512673392332702
prostate,baseline,40000,68,38,38,0.13120324588185256
prostate,baseline,40000,68,37,37,0.15437568742847427
prostate,baseline,40000,68,34,34,0.15813071838342532
prostate,baseline,40000,68,34,34,0.1410585637928852
prostate,baseline,40000,68,26,26,0.1367688452757682
prostate,baseline,40000,68,67,67,0.15055263730535934
prostate,baseline,40000,68,65,65,0.005413176549015082
prostate,baseline,40000,68,37,37,0.028213203315617597
