cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,full,40000,76,67,67,0.008221082543084847
prostate,full,40000,76,75,75,0.06812785082651539
prostate,full,40000,76,75,75,0.0287298238307529
prostate,full,40000,76,75,75,0.012141786118472081
prostate,full,40000,76,72,72,0.005120434821522942
prostate,full,40000,76,74,74,0.16890689407680373
prostate,full,40000,76,75,75,0.003276278924257811
prostate,full,40000,76,63,63,0.009917667331915942
prostate,full,40000,76,43,43,0.026948676000263568
prostate,full,40000,76,75,75,0.14482093185878986
prostate,full,40000,76,56,56,0.12867439760832103
prostate,full,40000,76,30,30,0.22056859550999672
prostate,full,40000,76,30,30,0.12131752758039
prostate,full,40000,76,44,44,0.023864587570278848
prostate,full,40000,76,43,43,0.026708386366243956
prostate,full,40000,76,44,44,0.02504246362012966
prostate,full,40000,76,43,43,0.023596161717727902
prostate,full,40000,76,75,75,0.09569261563664289
prostate,full,40000,76,73,73,0.02074013909489259
prostate,full,40000,76,30,30,0.15778918266235079
prostate,full,40000,76,75,75,0.11791910570594769
prostate,full,40000,76,67,67,0.03129818024778757
prostate,full,40000,76,44,44,0.029890543873167655
prostate,full,40000,76,44,44,0.1062130274190618
prostate,full,40000,77,44,44,0.07951963730705072
prostate,full,40000,77,43,43,0.0868352381692309
prostate,full,40000,77,76,76,0.09736368526549584
prostate,full,40000,77,73,73,0.08500888388780975
prostate,full,40000,77,59,59,0.07629706223878435
prostate,full,40000,77,73,73,0.010156434117178042
prostate,full,40000,77,44,44,0.021475352252152472
prostate,full,40000,77,76,76,0.0906411470564644
prostate,full,40000,77,76,76,0.21363540903064754
prostate,full,40000,77,44,44,0.02462907820503467
prostate,full,40000,77,43,43,0.025768287252399234
prostate,full,40000,77,74,74,0.01037371600785722
prostate,full,40000,77,76,76,0.0358921063869138
prostate,full,40000,77,74,74,0.047457267389855534
prostate,full,40000,77,30,30,0.05453650032049426
prostate,full,40000,77,75,75,0.16130651079026886
prostate,full,40000,77,75,75,0.1920510171257098
prostate,full,40000,77,73,73,0.19658645764163815
prostate,full,40000,77,59,59,0.19243748950279604
prostate,full,40000,77,56,56,0.16242051281272377
prostate,full,40000,77,42,42,0.13899848533382736
prostate,full,40000,77,73,73,0.06455362444390794
prostate,full,40000,77,47,47,0.020785030400303255
prostate,full,40000,77,76,76,0.2160284537065276
prostate,full,40000,77,30,30,0.13005622779886292
prostate,full,40000,77,76,76,0.005325160466579703
prostate,full,40000,77,76,76,0.019571820422268522
prostate,full,40000,77,75,75,0.006086855969640256
prostate,full,40000,77,74,74,0.010317958358497803
prostate,full,40000,77,74,74,0.010541403392541693
prostate,full,40000,77,74,74,0.0033840962135695775
prostate,full,40000,77,64,64,0.018369206639726143
prostate,full,40000,77,44,44,0.05808004152655911
prostate,full,40000,77,43,43,0.06586897698245794
prostate,full,40000,77,63,63,0.011308386599847564
prostate,full,40000,77,43,43,0.025502705851609582
prostate,full,40000,77,76,76,0.061788152756276984
prostate,full,40000,77,72,72,0.0171811830881705
prostate,full,40000,77,74,74,0.009921947943650105
prostate,full,40000,77,48,48,0.021765377131692316
prostate,full,40000,77,44,44,0.024815221168620453
prostate,full,40000,77,44,44,0.09978857181286953
prostate,full,40000,77,76,76,0.19208903225905405
prostate,full,40000,77,59,59,0.2478397816594667
prostate,full,40000,77,63,63,0.01161908708897514
prostate,full,40000,77,43,43,0.027221105457990672
prostate,full,40000,77,30,30,0.2114376438242568
prostate,full,40000,77,73,73,0.07001914514441487
prostate,full,40000,77,76,76,0.1385232836738214
prostate,full,40000,77,56,56,0.041664006654953886
prostate,full,40000,77,44,44,0.022460823672827288
prostate,full,40000,77,48,48,0.028808753661483003
prostate,full,40000,77,44,44,0.029472496124129846
prostate,full,40000,77,44,44,0.10474594675997669
prostate,full,40000,77,76,76,0.10715764872398142
prostate,full,40000,77,75,75,0.05937075609862749
prostate,full,40000,77,74,74,0.055412492101721514
prostate,full,40000,77,73,73,0.051814306642260666
prostate,full,40000,77,72,72,0.0784122917854654
prostate,full,40000,77,67,67,0.055155250793678404
prostate,full,40000,77,67,67,0.05273845643189726
prostate,full,40000,77,76,76,0.15112479052513947
prostate,full,40000,77,72,72,0.0917230186716187
prostate,full,40000,77,65,65,0.0538545971538437
prostate,full,40000,77,76,76,0.07678820624125617
prostate,full,40000,77,76,76,0.18537809643132644
prostate,full,40000,77,75,75,0.04593122525869909
prostate,full,40000,77,60,60,0.048396635465314884
prostate,full,40000,77,75,75,0.19062419624178653
prostate,full,40000,77,75,75,0.13859614421543995
prostate,full,40000,77,75,75,0.24351453648961954
prostate,full,40000,77,71,71,0.1946871098269637
prostate,full,40000,77,61,61,0.014409970275982857
prostate,full,40000,77,30,30,0.05684684321518316
prostate,full,40000,77,48,48,0.21295198318580497
prostate,full,40000,77,42,42,0.21946031783263142
prostate,full,40000,77,66,66,0.013624544810251589
prostate,full,40000,77,42,42,0.02331746788943881
prostate,full,40000,78,77,77,0.1532411559807755
prostate,full,40000,78,77,77,0.02604557464891671
prostate,full,40000,78,77,77,0.03983305830012814
prostate,full,40000,78,77,77,0.004547440848380918
prostate,full,40000,78,77,77,0.03253855871712933
prostate,full,40000,78,75,75,0.04185339888519269
prostate,full,40000,78,75,75,0.006659110214802594
prostate,full,40000,78,44,44,0.1863931620121582
prostate,full,40000,78,30,30,0.09835279206019952
